,Corn Close,Price_Change,Buy/Hold,Soybeans P_Close,Wheat P_Close,Cotton P_Close,Crude P_Close,USDBRL P_Close,EURUSD P_Close,IR P_Close,SoyOil P_Close,Sugar P_Close
0,550.75,0.35153374233128837,Buy,1105.0,597.5,70.0,40.290000915527344,5.327199935913086,1.186366319656372,0.9580000042915344,35.47999954223633,14.880000114440918
1,551.25,0.3552550706822373,Buy,1098.5,602.0,68.62000274658203,37.13999938964844,5.414899826049805,1.1859441995620728,0.8199999928474426,35.34000015258789,14.90999984741211
2,549.0,0.3414783139890043,Buy,1101.75,609.25,70.06999969482422,38.790000915527344,5.456999778747559,1.1845253705978394,0.7760000228881836,35.470001220703125,14.479999542236328
3,557.75,0.3763109191856878,Buy,1079.0,606.0,70.2300033569336,39.150001525878906,5.456699848175049,1.1803393363952637,0.7680000066757202,34.38999938964844,14.649999618530273
4,546.5,0.3628428927680798,Buy,1059.0,608.0,70.23999786376953,37.65999984741211,5.389999866485596,1.1780297756195068,0.8820000290870667,33.779998779296875,14.720000267028809
5,558.0,0.4037735849056604,Buy,1050.75,607.5,68.7300033569336,36.810001373291016,5.413899898529053,1.1818794012069702,0.8489999771118164,33.189998626708984,14.970000267028809
6,554.25,0.39084065244667504,Buy,1056.5,598.5,68.91999816894531,35.790000915527344,5.384699821472168,1.182732105255127,0.8600000143051147,33.61000061035156,14.359999656677246
7,549.5,0.37892095357590966,Buy,1051.75,603.75,69.81999969482422,36.16999816894531,5.36269998550415,1.1893010139465332,0.8349999785423279,33.060001373291016,14.399999618530273
8,549.25,0.3679950186799502,Buy,1057.25,608.75,70.16999816894531,37.38999938964844,5.523399829864502,1.1817537546157837,0.781000018119812,33.41999816894531,14.890000343322754
9,555.0,0.33413461538461536,Buy,1082.25,615.75,72.02999877929688,39.56999969482422,5.663000106811523,1.17326819896698,0.777999997138977,34.11000061035156,14.829999923706055
10,547.75,0.31119090365050867,Buy,1087.75,620.0,72.11000061035156,38.560001373291016,5.754899978637695,1.176221489906311,0.8009999990463257,34.459999084472656,14.770000457763672
11,562.0,0.3404889683959451,Buy,1083.75,632.75,71.29000091552734,39.849998474121094,5.741099834442139,1.1642799377441406,0.8410000205039978,34.11000061035156,14.720000267028809
12,565.0,0.35735735735735735,Buy,1073.75,622.75,71.94000244140625,40.63999938964844,5.741399765014648,1.1642121076583862,0.8479999899864197,33.689998626708984,14.779999732971191
13,562.0,0.3583081570996979,Buy,1072.0,629.75,71.04000091552734,40.029998779296875,5.7778000831604,1.1678695678710938,0.8159999847412109,33.20000076293945,14.5
14,546.25,0.3363914373088685,Buy,1064.0,632.0,71.0199966430664,41.459999084472656,5.744900226593018,1.1748672723770142,0.796999990940094,33.310001373291016,14.539999961853027
15,550.25,0.35780382479950645,Buy,1054.25,627.0,71.16000366210938,40.83000183105469,5.7052001953125,1.1784114837646484,0.7609999775886536,32.529998779296875,14.720000267028809
16,560.75,0.39490049751243783,Buy,1050.0,625.25,69.91999816894531,40.880001068115234,5.622700214385986,1.1809443235397339,0.7440000176429749,32.9900016784668,14.430000305175781
17,547.5,0.3560371517027864,Buy,1062.25,618.25,69.22000122070312,40.959999084472656,5.616199970245361,1.1848480701446533,0.7310000061988831,33.16999816894531,14.180000305175781
18,555.5,0.4010088272383354,Buy,1056.25,596.75,68.93000030517578,41.040000915527344,5.591300010681152,1.1815024614334106,0.722000002861023,33.720001220703125,14.199999809265137
19,554.75,0.41789137380191693,Buy,1044.0,594.0,68.83000183105469,40.20000076293945,5.607800006866455,1.1853959560394287,0.7269999980926514,33.720001220703125,14.010000228881836
20,559.25,0.43766066838046275,Buy,1033.75,594.25,68.37000274658203,39.43000030517578,5.6041998863220215,1.1829839944839478,0.7770000100135803,33.13999938964844,13.84000015258789
21,553.75,0.40189873417721517,Buy,1065.5,593.75,67.63999938964844,40.599998474121094,5.605599880218506,1.176885962486267,0.7749999761581421,34.150001525878906,14.229999542236328
22,551.0,0.42377260981912146,Buy,1050.0,595.25,66.19000244140625,41.189998626708984,5.644800186157227,1.1715501546859741,0.7649999856948853,33.2400016784668,14.170000076293945
23,542.75,0.39614147909967845,Buy,1051.0,607.5,66.29000091552734,39.95000076293945,5.611199855804443,1.1707134246826172,0.7850000262260437,33.310001373291016,14.140000343322754
24,550.25,0.4292207792207792,Buy,1044.0,592.75,65.55999755859375,40.66999816894531,5.5904998779296875,1.1743981838226318,0.7419999837875366,33.290000915527344,13.880000114440918
25,553.0,0.45718050065876153,Buy,1021.5,584.25,64.7300033569336,39.220001220703125,5.56850004196167,1.1742188930511475,0.7620000243186951,32.810001373291016,13.609999656677246
26,552.25,0.4542462146148782,Buy,1020.75,573.25,64.5199966430664,37.04999923706055,5.529699802398682,1.1816140413284302,0.6959999799728394,31.940000534057617,13.550000190734863
27,538.75,0.4075767472240366,Buy,1023.5,570.25,64.61000061035156,38.720001220703125,5.5289998054504395,1.181683897972107,0.6769999861717224,32.650001525878906,13.579999923706055
28,541.0,0.42744063324538256,Buy,1023.5,578.0,64.48999786376953,40.220001220703125,5.598599910736084,1.1767003536224365,0.6769999861717224,33.369998931884766,13.069999694824219
29,534.5,0.46538725154215216,Buy,993.0,549.5,64.0,39.290000915527344,5.611299991607666,1.176747441291809,0.6449999809265137,32.869998931884766,12.989999771118164
30,556.25,0.5167007498295841,Buy,996.25,550.25,64.4000015258789,40.599998474121094,5.593800067901611,1.1737639904022217,0.6629999876022339,33.290000915527344,12.59000015258789
31,563.75,0.5434633812457221,Buy,1002.5,544.25,64.66000366210938,40.25,5.573400020599365,1.1792453527450562,0.6589999794960022,32.84000015258789,13.0
32,548.5,0.5089408528198074,Buy,1000.0,549.75,63.970001220703125,40.310001373291016,5.681600093841553,1.1720443964004517,0.6660000085830688,32.36000061035156,12.84000015258789
33,550.0,0.4925373134328358,Buy,1014.5,549.0,63.7599983215332,39.93000030517578,5.642000198364258,1.1744946241378784,0.6759999990463257,32.689998626708984,12.819999694824219
